Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,Quantity,Method
0xe030b2114e5d9232a3087ac8ae640a8190b9a4bbd02a71dc25b31e8e1e048c6a,31347761,1693528722,9/1/2023 0:38,0xe93889fc4e526d30b3387c83469e594ae1971682,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,8.4,Transfer
0xf146a73bfb629a521f727ec21b521145ac08a97dcf5f9ff33628c5362c801d99,31351353,1693539557,9/1/2023 3:39,0x8a0c3f3b4ac3b2a1b6e45b5f277d84ba816fcb20,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,4,Transfer
0xa8d3f94a4151fafc94cba4347a28d0321585ef81dcc29c4f40569daae0ac09c6,31352635,1693543404,9/1/2023 4:43,0x0f6103854dbe14a81bfb67c517062ccd130c5b38,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,"1,110.82",Multicall
0xdc72f750c41b6df26c4c2f27f6cc2b707aac38110787ef63865e58a1499d8574,31352635,1693543404,9/1/2023 4:43,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x6ee4722d9b32b35755e281dcd92bda7cd71551f2,770.8499649,-
0x76a72f0145e4d07d94119c0cbe8e0bc8b278860423cc563d478605492a00df7c,31352784,1693543851,9/1/2023 4:50,0x6ee4722d9b32b35755e281dcd92bda7cd71551f2,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,770.8499649,Transfer
0x2e123f2ad4415a82ddc126e055fa09342fd8a675aedc81838a928b377f2f4ceb,31352924,1693544271,9/1/2023 4:57,0x61e6b5d1fd66bdd9a8258b33ad8310ea3c4c424d,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,3.1,Transfer
0x1e4655533862e419e0071085c1f29ac72d2a772ee3a452cada044674b0595b05,31353826,1693546981,9/1/2023 5:43,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x137dc3bcae7a8898ee4d3d8b38ea7d7cb90e5a6a,0.015828346,0x00000000
0x146c085571c2f56d434ae1354595035ce16feaf2f368d76305e94ae24a97d881,31354558,1693549181,9/1/2023 6:19,0x91dbd18e1179c7f04eabac154b1c40594d857ddf,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,47,Transfer
0x085969eb4a9d35ecec3f0268e30560d27d3a865cb059fc859c0b6146672eab5c,31354892,1693550185,9/1/2023 6:36,0xe6b2e98039cfaf1afba516649f8aef8652ac075f,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,3.1,Transfer
0x1f1e4c7c38a2110b55fc92f6439127b944e7a57164aab6d9de1e0d382d9bd9e1,31355876,1693553141,9/1/2023 7:25,0x27ca9eca275316e86630078493010d9af96525e8,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,4,Transfer
0xc17992408ffa0381ccd8436fa135cffeaf09298cf46e68086fa0347a37cdffc6,31356202,1693554125,9/1/2023 7:42,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,0x782e24690b9dbcaf0d1844488e2e23cffaf22927,351.5,Contest Reward
0xc17992408ffa0381ccd8436fa135cffeaf09298cf46e68086fa0347a37cdffc6,31356202,1693554125,9/1/2023 7:42,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,0x668d071c5b9009a3c3ee7782cbdef31654731a05,18.5,Contest Reward
0xdbfa05faf192f502466216b294e3bebd1c6cef56ea01244216a0b6b94e2fa685,31356425,1693554794,9/1/2023 7:53,0x436ce2ce8d8d2ccc062f6e92faf410db4d397905,0x56dd36025fa3d04a0f46b6a0f17b6fa425a8090d,88.87579572,Withdraw Token
0x39c0eaab3c3acb4e33b794d277ce7fa3ce1d8df7a2a2bc0158254ad4050f002e,31357733,1693558727,9/1/2023 8:58,0x56dd36025fa3d04a0f46b6a0f17b6fa425a8090d,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,137.4220147,Multicall
0x110c1be8efae59ed0d9004faee0653d895e75216df35cd5a26f2e0ce2302acaf,31357791,1693558901,9/1/2023 9:01,0xc5174f8344054bf8ddc6b91ad27b508a133610f8,0xbbdb759ec4fa3b31224b897acc9edbda7c318ed3,116.8431141,Claim Distribution
0x45c316e421c4928c69c09b518cd30f6169f04a35aa52dc8b22994fc1d6d08d7a,31358453,1693560892,9/1/2023 9:34,0xbe848dd2c147d7a38e579207bf78ffa687d677a2,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,20.5,Transfer
0x346a11b568dd75ba22a8bf40c522aedef5191e9749696c22bf6a2fa878d085ae,31358589,1693561300,9/1/2023 9:41,0x7d6b90c0dc712e06f55cddc4646e62d64fdc3ecd,0x81be3e567a9c1170c08ad7dc0ef669bbd8adeefb,"7,000",Transfer
0x0d6ee33f8fa7fb9bf4bb1be4f3a195e4f35536d00ac371527363d1b98344e21d,31358649,1693561488,9/1/2023 9:44,0xc5174f8344054bf8ddc6b91ad27b508a133610f8,0xdf96b858345e725655ca0e8e4eccfa00b1b68f5d,"15,775.49",Claim Distribution
0x0c9da42fcb22aa409c5aaa3a1f48cb11222d218f2a4a2eb9cf96af458e594009,31358811,1693561976,9/1/2023 9:52,0xc5174f8344054bf8ddc6b91ad27b508a133610f8,0xbf4e112f41288206501c2fbf48421f9c4ed06ddf,152.1652792,Claim Distribution
0x050ea056d97cfc6aa5834729fd3e6e205af24d6273b0a80f9e115d8b5a99b275,31358890,1693562213,9/1/2023 9:56,0x436ce2ce8d8d2ccc062f6e92faf410db4d397905,0x3cb26e6c055f42e685d52b1e3783c626c56cd2ed,82.1709734,Withdraw Token
0xf1ef8c1223a2489a5df72a747ef9f9ae6daed4900d3fb5026268a07b71841ca2,31358997,1693562534,9/1/2023 10:02,0x3cb26e6c055f42e685d52b1e3783c626c56cd2ed,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,124.2935965,Multicall
0xdfd736a57686fad3c025f87abc17b022f64200e95ae8084b815b904b5288de0e,31359277,1693563374,9/1/2023 10:16,0xfb5fa95aa6bbfe1403806253669d2f2ac698da96,0xc590175e458b83680867afd273527ff58f74c02b,47.82856361,Swap
0xdfd736a57686fad3c025f87abc17b022f64200e95ae8084b815b904b5288de0e,31359277,1693563374,9/1/2023 10:16,0xc590175e458b83680867afd273527ff58f74c02b,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,47.82856361,Swap
0xd95a934f2ebfd3b5bc6f7a381c5302abf4e06076f0413dd28a32a5dbd5c65ce9,31359442,1693563870,9/1/2023 10:24,0xdf96b858345e725655ca0e8e4eccfa00b1b68f5d,0xc86573c4a2c5b1884e85e3ff390440454e9b493d,"15,775.49",Transfer
0xeac652d724dc0311f5b41aa2654e300ce1ef5f56a4db147c9373faea9f6df7f9,31360083,1693565793,9/1/2023 10:56,0xc86573c4a2c5b1884e85e3ff390440454e9b493d,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,"15,775.49",Transfer
0xefecaa402718aba92579fdd5ef3f776c8e89bb758934ab2bc54032c34b7c3aff,31360998,1693568538,9/1/2023 11:42,0x436ce2ce8d8d2ccc062f6e92faf410db4d397905,0x6f05ba43673b5f9de00ba7d04ff4fb68d5152583,27.04790978,Withdraw Token
0xfb270a2401f739760553db235c2bd43019e6eafbadc774dd0568b1ea4b361efc,31361189,1693569111,9/1/2023 11:51,0x6f05ba43673b5f9de00ba7d04ff4fb68d5152583,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,27.04790978,Multicall
0x64db483ca26125ad8bcc8aaa64d0072e4044a5a78c29a3516860128a6696ee96,31362036,1693571658,9/1/2023 12:34,0x2950cd304d965dc08da593396a6d8832052ed6f9,0xc590175e458b83680867afd273527ff58f74c02b,"1,250",Swap
0x64db483ca26125ad8bcc8aaa64d0072e4044a5a78c29a3516860128a6696ee96,31362036,1693571658,9/1/2023 12:34,0xc590175e458b83680867afd273527ff58f74c02b,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,"1,250",Swap
0xdfca22b320b08792c4ed310f871fd158e008f9349a307fac9a879fbd87fa75a9,31362036,1693571658,9/1/2023 12:34,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x039ac6fbcebf02b54259bc690e13540693d9eb8d,"1,058.29",-
0xaf1cb1d59807fbb6d3a93f7b42d6b10693e6f32047a97e6742163f6a0c92c44d,31362365,1693572652,9/1/2023 12:50,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,0xefa495ee9f8c037169940659c705d1f2545fd4a1,350.55,Contest Reward
0xaf1cb1d59807fbb6d3a93f7b42d6b10693e6f32047a97e6742163f6a0c92c44d,31362365,1693572652,9/1/2023 12:50,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,0x668d071c5b9009a3c3ee7782cbdef31654731a05,18.45,Contest Reward
0x41b98d36dd7af143b35978bda59c6d8accc4d8372e56bf60dd4769b57b2a4476,31362385,1693572713,9/1/2023 12:51,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,0xefa495ee9f8c037169940659c705d1f2545fd4a1,76,Contest Reward
0x41b98d36dd7af143b35978bda59c6d8accc4d8372e56bf60dd4769b57b2a4476,31362385,1693572713,9/1/2023 12:51,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,0x668d071c5b9009a3c3ee7782cbdef31654731a05,4,Contest Reward
0x1dea6a681fcfd81ea80be7ec3c54c040a92f42eb200c929755b639ccf9a166d8,31365330,1693581553,9/1/2023 15:19,0xf279cc73f18c57e151ee2a1818818fd98a24e193,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,2.2,Transfer
0xa3e9123c00ac66ee18ee0ad34c04f3a5d6c8c3e73c8d8b09aed90252669d17f7,31365600,1693582365,9/1/2023 15:32,0xc5174f8344054bf8ddc6b91ad27b508a133610f8,0x889922b237aba20f85b5d795472c1e43d9693c08,26.84581321,Claim Distribution
0x2239ffc97832ad18d83fc6b66bb6a7c637b4f3a99df0116fce12e3dce867a843,31366537,1693585197,9/1/2023 16:19,0x436ce2ce8d8d2ccc062f6e92faf410db4d397905,0xad509317fd5b945ed3db40667a4fc47d7898547f,215.3765866,Withdraw Token
0xbcd3ac30c342dd296d06b4b61a6a7eda2b5b6a483d370a9950d7162df60237d1,31366563,1693585275,9/1/2023 16:21,0x889922b237aba20f85b5d795472c1e43d9693c08,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,26.84581321,Multicall
0x3ec77379935bdbd0d3e19e7028890439030af264ecd0c871627e8e67f0289a2b,31367059,1693586763,9/1/2023 16:46,0x436ce2ce8d8d2ccc062f6e92faf410db4d397905,0x2fd7f2da4ccf0dff812bcfa5c549b53da4342f7f,208.7886952,Withdraw Token
0x132fcdb489a5981b644e1d353287ceffd352f49d656f94a4708559479d224460,31368645,1693591539,9/1/2023 18:05,0x2fd7f2da4ccf0dff812bcfa5c549b53da4342f7f,0xd957689f9d558516e4fa19cfca57dabc35ae4f11,208.7886952,Transfer
0x788000e111cf9ee18108ce6ba75c6babf3e0a2bb603357f5c585bd888807a56e,31369108,1693592957,9/1/2023 18:29,0x9ed3526840182690b5a2b2fff3cda21168a5ef2b,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,5.1,Transfer
0xeb671c887771624a8671c090b268dfdc53ec74f9c68a0141770968ae362af152,31369924,1693595417,9/1/2023 19:10,0x436ce2ce8d8d2ccc062f6e92faf410db4d397905,0x4c68678583efc9603e6d0db1bd3032bd47a35133,34.02312119,Withdraw Token
0x6d31549d650bd3b46d7c118c522132d2efa39fbb5b05f60fe8792cd1789edd16,31369944,1693595477,9/1/2023 19:11,0x4c68678583efc9603e6d0db1bd3032bd47a35133,0xc590175e458b83680867afd273527ff58f74c02b,73.03310519,Swap
0x6d31549d650bd3b46d7c118c522132d2efa39fbb5b05f60fe8792cd1789edd16,31369944,1693595477,9/1/2023 19:11,0xc590175e458b83680867afd273527ff58f74c02b,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,73.03310519,Swap
0x1fa7caae4427e07f423bb9ce63cb1973c2594f1947b7b4290861937e0e35d88b,31371852,1693601214,9/1/2023 20:46,0xc5174f8344054bf8ddc6b91ad27b508a133610f8,0x118661b38b9f7fb13e39aa3d8e70853c2b93d535,208.0696721,Claim Distribution
0x4fbd80365995efab658be40bee6ea105e85b8705505a2fa7a0851948b2d9e515,31371885,1693601313,9/1/2023 20:48,0xc5174f8344054bf8ddc6b91ad27b508a133610f8,0x118661b38b9f7fb13e39aa3d8e70853c2b93d535,541.6359742,Claim Distribution
0x94cd1dd06c05f04a6e6510ca1c9d6e013ff537e0a66b42f5c1df85fe482e85fa,31372009,1693601685,9/1/2023 20:54,0x118661b38b9f7fb13e39aa3d8e70853c2b93d535,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,749.7056463,Multicall
0xbe4dea61f682874eb082f2aa7441567754d2a1fbd831717447d3e515ee702284,31372009,1693601685,9/1/2023 20:54,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x6ee4722d9b32b35755e281dcd92bda7cd71551f2,685.9496,-
0x6234b992b729ef57704fdbd13fff96b6e399232da255d6b27febc03d288a3a0e,31373238,1693605385,9/1/2023 21:56,0x6ee4722d9b32b35755e281dcd92bda7cd71551f2,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,685.9496,Transfer
0xfce6b489128042c0095d6ae21c04545d25830213567ec3cf6d1d0486019f8f92,31374701,1693609785,9/1/2023 23:09,0x3548aa1c2c80868d6836df5b8f84ab09e7554e13,0xc590175e458b83680867afd273527ff58f74c02b,"1,502.68",Swap
0xfce6b489128042c0095d6ae21c04545d25830213567ec3cf6d1d0486019f8f92,31374701,1693609785,9/1/2023 23:09,0xc590175e458b83680867afd273527ff58f74c02b,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,"1,502.68",Swap
0xfce6b489128042c0095d6ae21c04545d25830213567ec3cf6d1d0486019f8f92,31374701,1693609785,9/1/2023 23:09,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,"1,502.68",Swap
0x6d32df32a0390393b5e095fca5c53a18a7f53a553bd1042c95b0e59a73457fd3,31374701,1693609785,9/1/2023 23:09,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x039ac6fbcebf02b54259bc690e13540693d9eb8d,"1,019.81",-
0x589ad92b09d31810cada6dada177bee3a37477a0429f8483e6c9313358f21b9c,31375195,1693611267,9/1/2023 23:34,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x6ee4722d9b32b35755e281dcd92bda7cd71551f2,610.7253695,-
0x39ac00aa0cd4a43448c971d42b0ddc6295a051c8dd6a1f1b36189cd8f8e43f59,31375209,1693611310,9/1/2023 23:35,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xf2760ccf164ab114027a7f7be565d2c5be5543d6,"1,226.82",Transfer
0xe9a214801d84555b6a8931a4d591f760b549a08b3af4d221c6d319d79d503822,31375459,1693612066,9/1/2023 23:47,0x436ce2ce8d8d2ccc062f6e92faf410db4d397905,0x8242bc1315c46bb87909f6829a000c9d2ddceee6,68.6760321,Withdraw Token
0xf4debe8f69540bf5d0369343fa571c7a8df841d6292c1d1adf30d7eac7b3cd49,31375472,1693612106,9/1/2023 23:48,0x8242bc1315c46bb87909f6829a000c9d2ddceee6,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,68.6760321,Multicall
0xbfad66e7c8fe081d18413839d87d68e8e1f65ee23a0e1eee0be7584be687079d,31375518,1693612244,9/1/2023 23:50,0xf2760ccf164ab114027a7f7be565d2c5be5543d6,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,"1,226.82",Transfer
0x60f0fc08fdc934c47d23aaa2fe62153f0081864cf03f29eaabc620e9e979858b,31375638,1693612604,9/1/2023 23:56,0x6ee4722d9b32b35755e281dcd92bda7cd71551f2,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,610.7253695,Transfer
0x9d2b264344ec3821911307fbb8c10dc4fa1837b7b6952cb5054b4f44e1d767f7,31376147,1693614134,9/2/2023 0:22,0x1c75471728eae14c17f534416d062184e654f496,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,8,Transfer
0xd934f32e34743eecffb688909ad5f45bb59885bf2e6f366813de98a17e3a4818,31378196,1693620291,9/2/2023 2:04,0x8a5c83ee7259903017ef3319d6e086d76b1c9ef5,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,573,Multicall
0xf805b83bf1baa1c27524530c9aaa0b67f5d4c5fff40fe5e7a8c5ea0e9fd175a2,31378196,1693620291,9/2/2023 2:04,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x6ee4722d9b32b35755e281dcd92bda7cd71551f2,816.3292741,-
0x58785538d24fa7fc5d534430658d501aff2f3d6e6726dfc70aca07ddb3a6aaa2,31379105,1693623023,9/2/2023 2:50,0x6ee4722d9b32b35755e281dcd92bda7cd71551f2,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,816.3292741,Transfer
0x7c83e07f7a5bac5d955942c7059fcb10654f7f81679532c7e3d2d26f36954b6f,31382908,1693634450,9/2/2023 6:00,0x0ccdf8f88f4f4433a7edeb909e4fb0bb7e890de1,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,204,Transfer
0x722850470afaa72692c8beb58c8ec9925694153a1bb43eb7a987c1b1c0386ffd,31383538,1693636340,9/2/2023 6:32,0xc5174f8344054bf8ddc6b91ad27b508a133610f8,0x5bbbdc1673f8ce4a0d0ab4fd248be278a0359d39,"1,561.81",Claim Distribution
0xb720940bd28c6fcb4a5d9865913fe56bf055d613c676085709eb35eff3f6a34d,31383813,1693637165,9/2/2023 6:46,0xd64fc2ce4128ec2442687ee80704e93c547129e4,0xc590175e458b83680867afd273527ff58f74c02b,333.3333333,Swap
0xb720940bd28c6fcb4a5d9865913fe56bf055d613c676085709eb35eff3f6a34d,31383813,1693637165,9/2/2023 6:46,0xc590175e458b83680867afd273527ff58f74c02b,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,333.3333333,Swap
0x2a3ea2cd4bf17af98bceceda14d502e0dd07f53eb38ce492a53646565dc31648,31386205,1693644353,9/2/2023 8:45,0x302acd477d195ec740af1c2773637ae0dc30eb0e,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,9,Transfer
0xea96b6baf939b5cbbb3f556c93820968f635c6111e98463494faca1be03b0957,31386806,1693646156,9/2/2023 9:15,0xf37c3fbe0a404f848c38a31fdbbc37294531363b,0xd7f1dd5d49206349cae8b585fcb0ce3d96f1696f,"1,155.84",Execute
0xea96b6baf939b5cbbb3f556c93820968f635c6111e98463494faca1be03b0957,31386806,1693646156,9/2/2023 9:15,0xd7f1dd5d49206349cae8b585fcb0ce3d96f1696f,0xc629bf86f02ef13e8f1f5f75ade8a8165587998f,"1,155.84",Execute
0xea96b6baf939b5cbbb3f556c93820968f635c6111e98463494faca1be03b0957,31386806,1693646156,9/2/2023 9:15,0xc629bf86f02ef13e8f1f5f75ade8a8165587998f,0xdb6f1920a889355780af7570773609bd8cb1f498,"1,155.84",Execute
0xea96b6baf939b5cbbb3f556c93820968f635c6111e98463494faca1be03b0957,31386806,1693646156,9/2/2023 9:15,0xdb6f1920a889355780af7570773609bd8cb1f498,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,"1,155.84",Execute
0x83142ecc9acaf7c6b2cb128e0719fd6afe11564229cfa68a164b948615f149f9,31386807,1693646159,9/2/2023 9:15,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x0000000000e48832b7db85332df3d0bed9775b49,579.2968997,Relay1Gs Wnfs IQR Oy
0x9e8e51cb33efc62245f147e0f562fa758a19111f85f343c32c18967c1669fd55,31386807,1693646159,9/2/2023 9:15,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x6ee4722d9b32b35755e281dcd92bda7cd71551f2,"1,425.52",-
0x9422654931ccf8008a8e96799cbe58c66f8be616ffa33d99be8371109960e88b,31386807,1693646159,9/2/2023 9:15,0x0000000000e48832b7db85332df3d0bed9775b49,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,579.2968997,0x00000000
0x122a736e86241877015793ede2c6ab1c87abf3513275ab23533120aa20a758b9,31387613,1693648583,9/2/2023 9:56,0x6ee4722d9b32b35755e281dcd92bda7cd71551f2,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,"1,425.52",Transfer
0x4455f04af894a4b99c79fbb2d1bf2a83dbc9e9e398e5a6de41ba4eed215694b5,31387839,1693649262,9/2/2023 10:07,0x039ac6fbcebf02b54259bc690e13540693d9eb8d,0x0d0707963952f2fba59dd06f2b425ace40b492fe,"2,332.10",Transfer
0x239d77cec84f5f6d9cc32c51de1b2f1bcb1f4f04732869b17b93cf18a7910285,31389642,1693654687,9/2/2023 11:38,0x6e2b88953e19967b9c9b83db2bb8593196a16711,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,3.6,Transfer
0x0d6f831bc61b9204c8170c7bee5f78feaf8aac9ce7758e9406fd604e55c3ca1a,31389691,1693654834,9/2/2023 11:40,0xc5174f8344054bf8ddc6b91ad27b508a133610f8,0x6b2e93c71d357f42a3ff4d6c7fba7a24febb0ff2,"7,784.03",Claim Distribution
0x6d0ad25b76f05b68e00d727299801203a5b03bedf9787c6bef5e29f81fe2951e,31390339,1693656784,9/2/2023 12:13,0x4984b6f895f2a8ecee4b2512910a035b0905dc76,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,8,Transfer
0xb3a5edb36b35fc240617ca90a1e68a30476fda80f3453770d28bc3f9ce7b0ba0,31391555,1693660439,9/2/2023 13:13,0xb8f2a28683b388e620c868f12fb0627fef8ee86a,0x0000b7c732e71488423c9b152d63abdfdb9f0000,388.3289812,Transfer
0x45022997f9f279a832066342e1a4af9c6c11ea144c0f7382212c8ae75d830577,31391557,1693660445,9/2/2023 13:14,0x0000b7c732e71488423c9b152d63abdfdb9f0000,0x66b48c7cbf80568d6c414ee751e00c7c122d40bd,323.5168743,Multicall
0x45022997f9f279a832066342e1a4af9c6c11ea144c0f7382212c8ae75d830577,31391557,1693660445,9/2/2023 13:14,0x0000b7c732e71488423c9b152d63abdfdb9f0000,0x29488e5fd6bf9b3cc98a9d06a25204947cccbe4d,64.81210697,Multicall
0x5a9fceda2c7d479886da0bab787c5be3139641c48af4a8e12fcc918f7485eaba,31391667,1693660775,9/2/2023 13:19,0xc5174f8344054bf8ddc6b91ad27b508a133610f8,0xb8f2a28683b388e620c868f12fb0627fef8ee86a,26.44777295,Claim Distribution
0xda1a893b3b00a5727cbc31e1bac13406d332b034a60ef48f2bd4018013cfd1e0,31392141,1693662201,9/2/2023 13:43,0x436ce2ce8d8d2ccc062f6e92faf410db4d397905,0x2bb242e0b5eb2e58470160c53d665da17008da2b,106.1722433,Withdraw Token
0xc5ee60cda9058fb22cf1f479bcdb52c2387ce8ef79ac977cd8209a54da14a137,31392204,1693662390,9/2/2023 13:46,0x6b2e93c71d357f42a3ff4d6c7fba7a24febb0ff2,0x84ff7a12cc63d4bf89269aa6a116e46ea129adbd,"1,262",Transfer
0xe8712f5b21e13739651284474251889c6b95567bd5a1068cad2c9ee9c5458fed,31392210,1693662408,9/2/2023 13:46,0x6b2e93c71d357f42a3ff4d6c7fba7a24febb0ff2,0xab8c145f1e6617f6b937ee24c4bb1ea3a24b5c2b,631,Transfer
0x401ac2000144b65ceb0d4ae5765709bd1f764dfca99363a8b8d59b107e82a42e,31392216,1693662426,9/2/2023 13:47,0x6b2e93c71d357f42a3ff4d6c7fba7a24febb0ff2,0x83e2cf5943500693656b0614ee11c26819627a48,631,Transfer
0xb57d86734e20cc85c427952c1b9e327d40a13754364d29d5e1495c23fb984e48,31392222,1693662444,9/2/2023 13:47,0x6b2e93c71d357f42a3ff4d6c7fba7a24febb0ff2,0x0733bd24479e9b1d630869d62603179acbe7f85d,631,Transfer
0xa1635dbf00d7e71ad0d42de403eb2dea01ffd726f16860ed7cefbe6c54704705,31392229,1693662465,9/2/2023 13:47,0x6b2e93c71d357f42a3ff4d6c7fba7a24febb0ff2,0x1efad1f7c0b6c1352af4ced44d29f438fd3f7cc5,"1,052",Transfer
0x5b81d83709bccd28817cf85818387cae41087535f9c5f7fb5eb4dea13312dfec,31392235,1693662483,9/2/2023 13:48,0x6b2e93c71d357f42a3ff4d6c7fba7a24febb0ff2,0x06e6fc96de94e49b771898642831f370a07e0f8d,631,Transfer
0x4cf0efc78ad5f1a288fe8d71cf6d708aaaad6ab43ca6e4b519ca540c3f252ea4,31392242,1693662504,9/2/2023 13:48,0x6b2e93c71d357f42a3ff4d6c7fba7a24febb0ff2,0xfd05d54bfb8d2a58f312d1527a5d54464725d22a,"7,155",Transfer
0x2d4b7871c132520e6e04d2876fc05ac4b6038e17bfbfede8ae51da053ca95b6f,31392248,1693662522,9/2/2023 13:48,0x6b2e93c71d357f42a3ff4d6c7fba7a24febb0ff2,0xb1584f273de32a6919667c121fce3a82536ddf11,841,Transfer
0x0c7e98924c8daab656d56a5e5cdb3539d3f05bc6fb9be8280d8b332c3e80f796,31392256,1693662546,9/2/2023 13:49,0x6b2e93c71d357f42a3ff4d6c7fba7a24febb0ff2,0x5dd2f794a26284730b15f9999de0484a9c2ea357,631,Transfer
0xeb10023e3472315bb2f6f7de03ed370c2a54c6468639c1a0922b94d8c1cd82d3,31392261,1693662561,9/2/2023 13:49,0x6b2e93c71d357f42a3ff4d6c7fba7a24febb0ff2,0x4a8e858c0cf7717b570de4a26029e5618776196f,631,Transfer
0x6eaed81cf469eb703c91df1c07e0d39ab5b70f8f094b90e070a0903f2dbb8779,31392267,1693662579,9/2/2023 13:49,0x6b2e93c71d357f42a3ff4d6c7fba7a24febb0ff2,0x67d79e857ed30f3a41e367b3f31753014e21709a,"1,052",Transfer
0xc9d570bf1e1ee997f0a33ea18ad659bd07da02d2a1686aad59b48a838eae2a76,31392273,1693662597,9/2/2023 13:49,0x6b2e93c71d357f42a3ff4d6c7fba7a24febb0ff2,0xd52a13a7cef550a8073744488d3410b598095a86,"2,104",Transfer
0xe99c4471ed8a79f9649c5f3d0e01ede80369bf427c0edcf84079c09ae324c786,31392279,1693662615,9/2/2023 13:50,0x6b2e93c71d357f42a3ff4d6c7fba7a24febb0ff2,0xd5774c6db98dd73d5a1902772d3d7039287cc2ba,631,Transfer
0xb995af84020a4e6714365de699b815799396f18bc210218d27a97e3e789245dc,31392286,1693662636,9/2/2023 13:50,0x6b2e93c71d357f42a3ff4d6c7fba7a24febb0ff2,0x1d112f46432a2b51037bede27f9ad43f519317ad,631,Transfer
0xbf5754b938570c55a91dec4bb871119d98b450911f1f8ee3cf520d9596c31332,31392292,1693662654,9/2/2023 13:50,0x6b2e93c71d357f42a3ff4d6c7fba7a24febb0ff2,0x3b496ed1697f2f85cbd701b058481ecbe5dafcc9,841,Transfer
0x5aca876deb9619b85d6fee1e746d367dc2c974d7aa1709aa00337a7fb8151ba4,31392298,1693662672,9/2/2023 13:51,0x6b2e93c71d357f42a3ff4d6c7fba7a24febb0ff2,0xc447c8f581b9c66e67661c86a9b6cc69a3ce9891,841,Transfer
0x68d88a1aa2e6e1173bb53c86e82dea2757627a923eaf9f6852a4c8b21c24f430,31392312,1693662714,9/2/2023 13:51,0x6b2e93c71d357f42a3ff4d6c7fba7a24febb0ff2,0x2c9c14575a29464dd9c8758f2ab83ed239d56e6f,"1,473",Transfer
